synthetic_indicator_one_min,synthetic_indicator_one_max,synthetic_indicator_nd_min,synthetic_indicator_nd_max,relative_profit
-69.69696969696975,19.19191919191917,-384.8484848484849,-251.51515151515156,6.816299024020689e-05
358.080808080808,369.1919191919191,-161.11111111111111,-61.11111111111116,-0.03233622854833536
-268.68686868686865,-246.4646464646465,64.64646464646464,309.09090909090895,0.04718470043705186
353.53535353535347,464.6464646464647,143.9393939393939,199.4949494949494,0.00036921705238486763
-161.61616161616163,-50.50505050505055,54.545454545454525,76.76767676767676,-0.1995282827296119
337.3737373737374,359.5959595959595,-241.41414141414145,-152.52525252525254,-0.1219350084122268
406.5656565656564,462.1212121212122,344.44444444444434,433.3333333333332,1.0291045596610912e-06
294.44444444444434,372.2222222222221,428.2828282828282,450.50505050505035,2.2836219326631e-06
12.626262626262601,68.18181818181812,-423.73737373737373,-323.7373737373738,-8.106830864244813e-06
311.11111111111103,466.66666666666674,14.141414141414115,36.36363636363634,0.0009152781596682937
-249.49494949494954,-205.05050505050508,-339.3939393939395,-94.94949494949495,0.03559419291601678
405.55555555555543,483.3333333333332,373.23232323232327,495.45454545454527,2.2177556507043063e-08
-157.5757575757576,-135.35353535353536,119.69696969696965,264.1414141414141,-0.07668335309923667
-289.8989898989899,-245.4545454545455,-90.90909090909096,20.20202020202018,-0.002518314385992911
-379.7979797979798,-357.5757575757576,71.71717171717171,160.6060606060605,0.0005002858947048369
-421.7171717171717,-366.1616161616161,-68.68686868686873,-2.020202020202049,0.00015995671328118363
-113.63636363636364,53.03030303030295,-180.30303030303037,-102.52525252525253,-0.000290001449261262
-161.11111111111111,-61.11111111111116,-281.31313131313135,-203.53535353535358,0.012899096486394325
281.8181818181818,415.151515151515,-178.78787878787884,-134.34343434343435,-0.11589845588798094
-461.61616161616166,-417.17171717171715,-262.6262626262627,-151.51515151515153,0.015833827002710143
309.090909090909,509.0909090909091,154.54545454545445,198.9898989898989,0.0025525894293072083
-330.80808080808083,-53.03030303030308,-329.29292929292933,-307.07070707070716,0.08653226199519719
-69.69696969696975,19.19191919191917,478.78787878787864,501.01010101010104,1.557565122099608e-05
