synthetic_indicator_one_min,synthetic_indicator_one_max,synthetic_indicator_one_relLen,synthetic_indicator_nd_min,synthetic_indicator_nd_max,synthetic_indicator_nd_relLen,relative_profit,number_of_datapoints,is_empty
-108.08080808080808,-63.63636363636368,0.04,-51.51515151515156,81.81818181818181,0.12,-0.10231490893239453,4,False
-394.44444444444446,-50.00000000000005,0.33,-292.4242424242425,29.797979797979774,0.28,0.008192359431951112,54,False
-374.7474747474747,-241.41414141414145,0.14,-431.3131313131313,-164.6464646464647,0.24,0.1102512135639033,21,False
-356.06060606060606,32.8282828282828,0.35,-436.86868686868684,-47.97979797979803,0.34,0.037286430403441824,60,False
252.52525252525245,363.6363636363636,0.12,354.040404040404,454.0404040404039,0.08,2.5099518925236736e-05,6,False
82.82828282828281,371.71717171717165,0.24,39.39393939393938,394.949494949495,0.34,0.08285683163105408,46,False
-385.3535353535354,-240.90909090909096,0.16,-79.79797979797985,231.31313131313127,0.3,0.004886597699771239,20,False
200.50505050505043,344.949494949495,0.14,-97.47474747474753,158.08080808080803,0.24,0.024387601282061345,18,False
-411.61616161616166,-356.06060606060606,0.06,-480.8080808080808,-458.58585858585866,0.02,0.012191594087315462,1,False
-476.26262626262627,-331.8181818181818,0.16,40.90909090909089,363.13131313131305,0.3,0.0011727825159436331,25,False
-109.59595959595958,190.40404040404033,0.22,-329.7979797979798,-74.24242424242429,0.22,-0.0031444227326764855,28,False
-371.7171717171717,-82.82828282828281,0.27,288.8888888888888,488.88888888888874,0.16,0.01029006959505703,23,False
277.27272727272725,510.6060606060606,0.22,-381.81818181818187,-315.1515151515151,0.06,-0.014395816711323105,7,False
-379.7979797979798,-357.5757575757576,0.04,-484.8484848484848,-373.7373737373738,0.1,0.02652292634855886,2,False
-43.434343434343475,356.5656565656566,0.33,-202.52525252525254,141.91919191919186,0.32,0.015718307705489896,60,False
-322.72727272727275,-222.72727272727278,0.1,-55.55555555555559,166.66666666666657,0.22,-0.007843572141420199,11,False
336.8686868686869,370.2020202020201,0.04,-107.07070707070707,-84.8484848484849,0.02,-0.026854177511902597,2,False
202.52525252525248,302.5252525252524,0.1,-424.2424242424242,-313.13131313131316,0.1,-0.0056213827511133385,3,False
-324.2424242424243,31.313131313131287,0.31,-343.939393939394,0.5050505050504732,0.3,0.016151693723477894,58,False
129.79797979797982,274.24242424242425,0.1,-109.0909090909091,-42.424242424242465,0.06,-0.004766410394318351,4,False
