synthetic_indicator_one_min,synthetic_indicator_one_max,synthetic_indicator_one_relLen,synthetic_indicator_nd_min,synthetic_indicator_nd_max,synthetic_indicator_nd_relLen,relative_profit,number_of_datapoints,is_empty
172.22222222222214,272.22222222222223,0.08,119.69696969696965,264.1414141414141,0.14,0.15712913909926857,6,False
-182.82828282828288,-49.49494949494954,0.12,-112.12121212121212,21.212121212121186,0.12,-0.039005801975092735,10,False
-74.7474747474748,125.25252525252525,0.16,266.6666666666665,511.11111111111114,0.22,0.006582646357617772,22,False
-17.171717171717198,249.49494949494942,0.18,-320.20202020202026,-53.53535353535358,0.22,-0.01658879181051575,23,False
-469.1919191919192,-258.0808080808081,0.22,-309.59595959595964,-276.2626262626263,0.02,0.12888705938251926,6,False
-295.45454545454544,-128.7878787878788,0.14,-426.2626262626262,-270.7070707070708,0.14,0.08061845222555857,9,False
-367.67676767676767,-167.67676767676772,0.18,-350.5050505050505,-306.0606060606061,0.06,0.19840925665585596,2,False
-10.101010101010132,101.010101010101,0.08,-90.90909090909096,20.20202020202018,0.1,-0.006234133136957866,7,False
-39.89898989898994,282.32323232323233,0.24,-117.17171717171718,127.27272727272727,0.22,0.0318255094487607,38,False
-214.64646464646466,-47.97979797979802,0.14,-214.14141414141417,-58.58585858585863,0.14,0.0008192368672735348,9,False
228.78787878787873,417.67676767676755,0.2,206.56565656565652,439.8989898989898,0.2,0.008001536458346071,20,False
236.3636363636363,258.58585858585855,0.02,-355.55555555555554,-200.00000000000003,0.14,-0.08083314712633631,1,False
7.070707070707046,184.8484848484848,0.12,-159.09090909090912,-103.53535353535354,0.04,-0.0009483002774072289,2,False
87.37373737373736,276.26262626262627,0.14,-187.37373737373738,-176.26262626262633,0.02,-0.06779293851329748,1,False
-344.949494949495,-200.50505050505055,0.14,-392.4242424242424,-314.64646464646466,0.08,0.16218124463717137,5,False
-278.2828282828283,-44.949494949495,0.2,-265.1515151515152,-98.48484848484848,0.14,0.017577899221204073,16,False
37.3737373737373,215.1515151515151,0.12,-360.6060606060606,-93.93939393939394,0.24,-0.009273258538333922,16,False
-190.40404040404044,109.59595959595958,0.24,-448.48484848484844,-248.48484848484853,0.18,0.014279781538151085,19,False
-378.28282828282823,-167.17171717171723,0.2,157.57575757575754,357.57575757575745,0.16,0.03442247705927332,18,False
287.87878787878776,510.1010101010101,0.2,4.040404040404017,248.4848484848484,0.24,0.005540030301908608,31,False
256.06060606060606,511.6161616161616,0.24,287.87878787878776,510.1010101010101,0.2,0.00033482886496612614,23,False
198.98989898989893,376.7676767676767,0.18,346.9696969696969,380.3030303030303,0.04,5.383889329838321e-05,2,False
-273.2323232323232,-151.01010101010104,0.1,-287.3737373737374,-76.26262626262631,0.18,0.023267108971306308,13,False
247.4747474747474,469.69696969696975,0.22,-177.77777777777783,-155.55555555555557,0.02,-0.1026643564777762,3,False
-448.98989898989896,-237.87878787878793,0.22,-13.131313131313158,164.64646464646455,0.18,0.001017107268878965,18,False
-301.010101010101,-12.121212121212162,0.24,114.64646464646464,147.97979797979792,0.04,-0.15444408496942078,4,False
-464.64646464646466,-353.5353535353536,0.12,-354.04040404040404,-231.81818181818187,0.12,0.07888608077787537,14,False
